3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
8135: bares | entra un señor a un bar y el camarero le pregunta:¿que quiere? ¡que que quiero!, una casa mas grande, tener mas dinero, que mi mujer sea mas guapa. no, hombre, ¿que que desea? ¡que que deseo!, tener una mansion, ser millonario, que mi mujer sea estupenda. ¡no hombre! ¿que que va a ser? ¿que que va a ser?  yo prefiero que sea chica pero si es un niño, no me importa. ¡no hombre! ¿que que va a tomar? ¡ah, hombre, eso se dice antes! ¿que hay? pues nada, por aqui, siempre detras de la barra...  
3601: jaimito | le pregunta la profesora a jaimito:a ver jaimito, ¿que es un canibal? no se profesora. a ver, ¿si te comes a tus padres que eres? huerfano, maestra, huerfano.  
4983: niños | una vez un chico que fue a comprar cigarillos y le dice al quiosquero:señor, ¿tiene cigarrillos de colores? no nene, no tengo. al dia siguiente vuelve el chico y le pregunta al quiosquero: señor, ¿tiene cigarrillos de colores? no nene, ya te dije que no tengo, dijo el quiosquero con nerviosismo. esa misma noche el quiosquero agarro un paquete de cigarrillos de cada marca, y los pinto a todos de diferentes colores. al otro dia el chico vuelve al quiosco y le pregunta al quiosquero: señor, señor, ¿tiene cigarrillos de colores? y el quiosquero contesta orgulloso: si, ¿que color queres? ¡blanco 
5471: otros | ¿ustedes saben por que los pastusos ponen una piedra encima de la grabadora?para oir musica pesada 
7043: atlantes | ¿como reconoces a un atlante en un salon de clases?porque es el unico que cuando el maestro borra en el pizarron, el borra en su cuaderno.   
5840: otros | hasta mañana si yo quiero, firma diosvayamos al grano firma un dermatologo los reyes son los padres firma el principe carlos  
7727: una_linea | ¿cual es el santo que quita el hambre?el sanwich 
5506: otros | el policia de transito al conductor:¿me da su permiso de conducir? si, conduzca, conduzca 
7184: atlantes | manolo le dice a pepe:oye pepe, ¿sabes que se ha muerto paco? no, ¿y de que? de cataratas. ¿no me digas que lo empujaron? no, lo operaron 
3962: machistas | ¿por que nos casamos con las mujeres?porque las vacas no saben cocinar 
1443: computacion | ¿saben cuales son los mejores amigos de bill gates?control, alt y supr 
1039: colmos | el colmo de un paracaidista: que cuando este llegando a tierra se encuentre un cartel que diga:campo minado  
819: chistes_cortos | ¿sabes por que rosa entro en una escuela de canto?porque no cabia de frente 
5140: niños | tratando de explicar a su pequeño hijo que es un milagro, una madre le dice:¿que serias si cayeras de un 5° piso y no te pasa nada. ¡suerte!, responde el hijo. ¿y si caes otra vez y no te vuelve a pasar nada? ¡eso es buenisima suerte! ¿y si vuelves otra vez a caer y no te vuelve a pasar nada? ¿que es? practica 
408: canibales | va un canibal en un avion y la azafata le pregunta: ¿quiere que le traiga el menu?  a lo que el canibal responde:  no mejor traigame la lista de pasajeros.  ¿y como llama un canibal a un directorio telefonico ?  un menu 
7529: suegras | un señor llega a la casa y le dice a su esposa:mi amor, apresurate, toma el perro y llevalo al veterinario para que le quiten la cola, hoy mismo.    pero, por que mi amor, el perro no tiene problemas con su cola. lo que sucede es que tu madre viene mañana, y no quiero  ninguna manifestacion de alegria en esta casa 
3868: locos | una vez un hombre iba caminando por la calle, y se tropieza  con un señor que estaba redactando una carta con una maquina de escribir sentado en la acera de la avenida, y le dice:¡señor, el manicomio queda alla en frente! y el que escribia le respondio:   disculpe, lo que pasa es que las oficinas estan aqui afuera 
890: chistes_cortos | ¿que pensaria usted si acomodara visiblemente su sombrero en el asiento del lado y alguien viniera y se sentara encima?¡que es un imbecil! pues usted se ha sentado sobre mi sombrero.  
4301: amigos | unos amigos van caminando por la calle y uno dice:compadre, mire esa belleza de mujer. ¡y pensar que antes me perseguian! ¿de verdad? ¿y ya no? no. ¿por que? ¡porque ya no robo carteras 
1941: actos | primer acto: sale un telefono sangrando.segundo acto: sale el mismo telefono sangrando. tercer acto: sale el mismo telefono sangrando todavia. ¿como se llama la obra? se corto la llamada 
3690: jefes | una empresa publico un aviso clasificado bajo el titulo: se busca secretaria.al dia siguiente se presenta una mujer y el jefe le pregunta: ¿sabe usted escribir a maquina? no señor. ¿sabe taquigrafia? no señor. entonces, ¿que oficio de oficina sabe usted? ninguno señor. ¿entonces por que vino? yo solo vine para decirles que no cuenten conmigo 
6501: pepito | esta pepito en su clase de ingles y la maestra pide que los estudiantes hagan una oracion utilizando un color.a ver maria, una oracion con green. the grass is green. muy bien. jose, una oracion con yellow the banana is yellow. bien. pedrito, una oracion con pink. my favorite color is pink. bien. pepito, ya que a ti no te gusta participar en clases, dime una con las 3 palabras. ay maestra!, eso es muy facil, mire: green, green! (ring ring) yellow? (hello) pink pink pink (tono de ocupado)     
6064: animales | resulta que en un barco iban platicando puras pendejadas tres pericos.de repente que se enoja el capitan, y sacando un filoso cuchillo les dice: ¡el perico tonto que hable, lo mato! dice un perico: ¡no hablen! ¡y suin que le rebanan el pescuezo! dice otro: ¿por que hablaste? ¡y suin que le rebanan el pescuezo! dice el ultimo: ¡yo por eso no hable! ¡y suin que tambien le rebanan el pescuezo 
2363: funerales | pasa un entierro con miles de personas, un señor pregunta:oiga, ¿sabe usted quien es el muerto? y el otro le contesta: no estoy seguro, pero me parece que es el que va dentro de la caja 
7703: una_linea | ¿saben cual es el colmo de un perdedor?que su esposa se llame victoria 
4097: mama_papa | una niña le pregunta a su madre: mami, ¿de donde salen los bebes? ¿como naci yo?  la madre le contesta:   hija, un dia yo fui al jardin, corte la flor mas bonita, la puse en una cajita de carton y la guarde en el gavetero de mi cuarto. espere nueve meses y abri el gavetero, y ahi estabas tu, mi hermosa hija.  la niña le dice:   ah, pues yo voy a hacer lo mismo porque yo quiero tener un bebe. entonces, va al jardin, corta una flor, y la guarda en una cajita en el gavetero. al pasar los nueve meses, le dice a la madre:   mama, ya pasaron nueve meses, voy a buscar a mi bebe. la niña va a su cuarto, abre el gavetero, y cuando toma la cajita, sale una cucaracha. la niña la mira molesta y le dice:  por mi madre que sino fueras hija mia te mataba 
8047: viejitos | una anciana de 80 años tuvo una cita con un anciano de 85. al regresar a casa su nieta le pregunto que como le habia ido, a lo que la anciana le contesto:  ¡tuve que darle una bofetada!  la nieta pregunta enojada: ¿por que, se quiso propasar contigo? no, al contrario, yo pense que ya se habia muerto.   
4227: mama_papa | un niño le dice a su madre:mama, mama, que la burra se ha caido al pozo. la madre responde: ¡échale paja que agua no le va a faltar 
1472: computacion | ¡es increible, el mejor antivirus para linux ha detectado un virus llamado windows98 en mi cd original!</div><div class=opciones> <span class=chisteid>#9852</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=9852' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5012: niños | el niño que llega a la casa,mama, mama, en el colegio me dicen distraido. y la señora le contesta: niño, tu vives en la casa del frent 
6456: pepito | era una vez pepito llega a clases y la maestra le pregunta:pepito, ¿por que no hiciste la tarea? y pepito le responde: profesora, es que usted mando la tarea para la casa y yo vivo en apartamento 
4609: matrimonios | una vez le dice el esposo a la esposa:vieja, preparate porque ahora si voy amarte. y la esposa contesta: ¡por mi, te puedes ir a pluton 
4593: matrimonios | un señor llega ante el acomodador de la tribuna principal donde se celebrara el partido final de la copa mundial de futbol, el acomodador al ver el ticket que le presenta el señor se da cuenta que tiene uno de los dos mejores y mas costosos asientos del estadio, lo dirige hasta el asiento, y nota que el otro esta vacio y le dice al señor:caramba, la otra persona que posee el otro mejor asiento del estadio, no ha llegado. y el señor le contesta: ni llegara. el acomodador le pregunta intrigado: ¿por que? ¿como lo sabe usted? y el señor le contesta: porque ese asiento era de mi esposa, y ella fallecio. el acomodador le comenta: ¿y por que usted no le ofrecio ese asiento a algun amigo o familiar? y este le contesta: porque todos estan en el velorio 
4339: amigos | se encontraba juan caca bebiendo triste en un bar, cuando de pronto aparece su buen amigo y le dice:juan, ¿por que tan triste?  juan caca le responde: por que va a ser, mi nombre pues, como me voy a llamar juan caca, es horrible. el amigo le dice: pero eso ahora tiene arreglo, en nuestros dias te puedes cambiar de nombre facilito. juan caca dice: ¿tu crees?, esta bien, mañana mismo lo hago. al dia siguiente el amigo pasa por el mismo bar y ve a juan caca bebiendo feliz.  hola, veo que estas feliz, ¿hiciste lo que te aconseje?  juan caca dice: claro, ya no me llamo mas juan caca, ahora soy feliz. el amigo le pregunta: ¿como te llamas ahora? ¡pedro caca!	  
3040: adivinanzas | ¿sabes cual es el unico hombre que daria su vida por una mujer?un guardaespalda 
7482: suegras | auxilio, socorro, amor, que  llamen a los bomberooos, se quema nuestra casaaaaa.¡shhhh!, silencio mi amor, no hagas ruido que vas a despertar a tu madre.  
6755: atlantes | esta era una vez dos atlantes que iban en camioneta a gran velocidad en el bosque, entonces uno le dice al otro:oye venancio, ¿ya viste que rapido van los arboles? si, de regreso nos venimos en arbol 
6539: pepito | ¿cual es el colmo de pepito?que despues de tantos años de vida y existencia, le siguen diciendo pepito en  vez de decirle don jose 
4047: machistas | ¿cual es la sal con mas olor?las salpargatas 
2268: feministas | todos los hombres tienen su precio, pero la mayoria esta en oferta.</div><div class=opciones> <span class=chisteid>#20278</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=20278' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5682: otros | ¿que fue lo ultimo que se pudo oir en una nave espacial, justo antes de que se estrellara?¿por que no la dejas conducir un rato a ella 
7254: atlantes | iban estos amigos por la calle real de su ciudad y ven a un colega acercandose y dicen los amigos:juan, ¿que haces con la moto bajo el brazo? ¡joder! ¡he aparcado el casco!  
6896: atlantes | tres amigos se reunen para ir de caceria de osos. antes de emprender la caceria van donde un anciano para preguntarle como se cazaban los osos. el anciano les dice:vayan a una cueva grande y dicen: ¡sal oso, sal! luego esperan media hora y cuando salga el oso le disparan. al enterarse de esto se van los tres amigos a cazar. luego de media hora, dos de los amigos regresan con sus osos. uno de ellos regresa sucio, herido y moribundo. entonces, uno de los dos amigos le pregunta que le paso y el les responde: fui a una cueva grande, grite: ¡sal oso, sal! ¡espere media hora y me atropello el tren!  
5717: otros | era una mujer tan tonta, pero tan tonta, que las demas se dieron cuenta.</div><div class=opciones> <span class=chisteid>#57998</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=57998' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
5489: otros | en la escuela, el profesor pregunta a sus alumnos en la clase de linguistica:a ver, juanito, dime una palabra que tenga varias veces la letra o. goloso, le responde. ¿y tu que dices, pablo? hipopotamo. ¿y tu, panchito? ¡goooooooooooooooooool 
5858: otros | sintomas de vivir en el 2001.parte ii  11. cuando haces llamadas telefonicas desde tu casa, por error oprimes primero el 9 o 0 para tomar linea.       12. lo que mas lamentas de reformatear el disco duro de tu computadora es que pierdes todos tus bookmarks o favoritos.       13. es oscuro cuando entras y sales de trabajar, ¡pero en verano!   
2710: adivinanzas | ¿que es un hombre caballeroso, inteligente, trabajador, guapo, digno y honesto?un triste espejismo 
381: campesinos | un turista que pasea por el campo ve una granja y pregunta al dueño:¿pone muchos huevos esa gallina blanca? hasta ahora ninguno, responde el campesino. ¡que contento se pondra usted cuando ponga el primero! figurese, vendere huevo y ave a peso de oro. ¿por que?, inquiere extrañado el turista. y el granjero le contesta: pues, porque esa gallina, ¡es un gallo 
198: borrachos | un borracho caminaba por el cementerio, llevaba una botella, entonces se le quebro, y una anciana pasaba por ahi le pregunta:¿familiar?  y el borracho le responde: ¡no, de litro 
6134: animales | ¿con que matarias a un elefante blanco?con una pistola para matar elefantes blancos. ¿y con que matarias a un elefante rojo? pues, lo asustas, se pone blanco y luego lo matas con una pistola para matar elefantes blancos. ¿y con que matarias a un elefante verde? pues lo ahorcas, se pone rojo, luego lo asustas, se pone blanco y lo matas con una pistola para matar elefantes blancos 
2690: adivinanzas | ¿por que los atlantes entran desnudos a las tiendas de autoservicio?porque en la entrada dice: 50% de descuento en pelotas 
1765: doctores | doctor, me temo que me estoy quedando sordo. figurese que no me oigo ni toser.tome estas pastillas. ¿son para oir mejor? no, para que tosa mas fuerte 
647: chistes_cortos | le pregunta un turista al oficial:¿se caen muy a menudo la gente por este precipicio? no, con solo una vez basta. 
7563: suegras | ¿como se dice suegra en chino?leliki 
6275: animales | estaba un borracho en un bar y ya se le habia acabado el dinero. entonces saca una hormiguita de color negro del bolsillo, y le dice al barman:¡oye amigo! ¿te apuesto mi coche contra una botella de tu mejor vino a que mi hormiguita levanta aquel vaso lleno de vino? entonces el cantinero pensando que eso era imposible, acepta. el hombre le dice algo al oido a su hormiguita, la deja en la mesa y la hormiguita camina y levanta sin dificultad el vaso. entonces el barman la aclama, ¡oh eso es muy bueno! pero deja de platicar para atender a los clientes. despues de un buen rato al borracho se le termina la botella de vino, y le grita al barman: te apuesto mi casa contra cinco botellas de tu mejor vino a que mi hormiga levanta aquella mesa de billar contigo encima. entonces, el barman acepta pensando que es imposible, y la hormiga lo hace. maravilloso, se la compro por 10,000 dolares. entonces el borracho se la vende.  en ese momento llega otro borracho y al ver el publico que tenia la hormiguita, la ve y al pasar por su lado la pisa y grita: ¡ja, ja, tanto jaleo por una simple hormiguita!  
4003: machistas | mi tio es tan feo, que hasta el ciego se asusta. 
993: colmos | esta era una vez un sordo, un mudo, un calvo y un mocho, y dice el sordo:me parecio haber oido algo. y responde el mudo: a ver, vamos a ver. a lo que agrega el calvo: ¿y si nos jalan el pelo? responde el mocho: ¡salimos corriendo!  
2771: adivinanzas | el ucv fue el primer canal de television. ¿saben por que le pusieron asi?porque la gente prendio la tele y dijo: ¡uuuuuu se ve 
7797: una_linea | un tipo tan y tan feo que el susto le tenia miedo.</div><div class=opciones> <span class=chisteid>#2927</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=2927' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
59: borrachos | una señora pasa con su hija en la tarde y un borracho les grita:¡señora, su hija se ve bien fea! y la señora le contesta: ¡es que la belleza la tiene por dentro! y el borracho le responde: ¡entonces, pelela 
7921: una_linea | ¿que le dice una pipa a la otra?paz, paz 
2169: exageraciones | era una adivina tan buena, tan buena, que ademas del futuro, adivinaba el condicional y el pluscuamperfecto de subjuntivo. el dietista de atlantilandia, era tan bruto, tan bruto, que les decia a sus pacientes que debian de comer en un columpio para llevar una dieta balanceada 
1949: actos | primer acto: aparece una isla desierta y en medio de esta un sobrecito para hacer te.segundo acto: aparece la misma isla con el mismo sobrecito de te. tercer acto: aparece la misma isla con el mismo sobrecito de te. ¿como se llamo la obra? la isla del tesolo 
499: chistes_cortos | ¿que salio cuando el tigre toño se tomo una foto?zucarita 
6966: atlantes | ¿por que las mujeres atlante les cambian los pañales a sus hijos cada dos meses ?porque en la caja dice para niños con hasta diez kilos.  
103: borrachos | dos borrachos se encuentran en una cantina y le pregunta uno al otro:oye compadre, ¿usted como se llama? el otro contesta: me llamo placido domingo, ¿y tu? pos yo, mendigo lunes 
623: chistes_cortos | entra un ciego a una cocina y coge un rallador de queso, se pone a leerlo en forma de braille y dice:¿quien ha escrito esta tonteria 
1596: crueles | un tio con mucha melena va arrastrandose por la carretera, y al parar un coche el melenudo le pregunta:¿me falta mucho para leon? y el del coche le dice: lo que te falta es el rabo 
889: chistes_cortos | ¿cuantos años tiene santa claus?50(sin cuenta 
1391: abogados | ¿en que se parecen los abogados a las computadoras?en que cuando los utilizas se les baja el sistem 
4167: mama_papa | mama, mama, ¡la abuela esta en el telefono!sacala que debe estar incomoda 
4113: mama_papa | mama, mama, ¿los sapos tienen lentes?no hijo, ¿por que? entonces, mi abuelita se cayo en la picina 
6407: pepito | juanito entra a la cocina y empieza decir a la empleada:¡abuelita abuelita! la mama de juanito le dice: ¿por que llamas a la sirvienta abuelita. juanito le contesta: ¡porque mi papa la llama, mamacita!  
7592: tacaños | el padre llama a su hijo su hijo samuel que vive en nueva york y le dice: -lamento arruinarte el dia,pero tengo que informarte que tu madre y yo nos estamos divorciando, cuarenta y cinco años de sufrimiento es suficiente.  -papi, ¿de que estas hablando? !y justo antes de las fiestas de fin de año! grita el hijo.  -no podemos soportar seguir viendonos, le contesta el padre. estamos hartos uno del otro y estoy cansado del tema asi que es mejor que tu llames a tu hermana ana en chicago para contarle. y corta el telefono.  desesperado, el hijo llama a su hermana, quien explota en el telefono.  -¿como que se estan divorciando? !yo me voy a hacer cargo del asunto!  inmediatamente la hija llama al padre y le dice:  ustedes no se divorcian!. no hagan nada hasta que yo llegue. ahora mismo vuelvo a llamar a mi hermano y vamos los dos con ustedes. hasta entonces no hagan nada, ¿escuchaste bien? el padre deja el telefono, mira a su esposa y le dice: muy bien ruth todo salio perfecto... los dos vienen para las fiestas y se pagan los pasajes.   
6590: politicos | este era un dia en que el señor presidente paseaba por la calle, cuando escucha una voz que dice: ¡que se muera el presidente! este mira desconcertado para todos lados y cuando ve un loro en la ventana de una casa decide tocar la puerta de esta, al abrir la dueña de la vivienda, el presidente disgustado le dice que el pasara mañana y el loro no debera decir eso. la señora  preocupada, fue a casa del sacerdote y este canjea con ella el loro, la señora se lleva el loro del sacerdote y el sacerdote se queda con el loro de ella. al dia siguiente pasa el presidente y observa que el loro no dice nada, este  enojado le dice al loro: ¿no vas a decir que se muera el presidente? y el loro contesta: ¡que dios te oiga hijo mio, que dios te oiga!  
3259: adivinanzas | ¿que le dijo un poste de luz a otro?prende la luz que tengo miedo 
1835: doctores | un paciente entra en la consulta del medico:¿que es lo que le ha traido por aqui?  una ambulancia, ¿por que?  
7935: autos | un hombre toca el timbre de una casa, a lo que un niño lo atiende.¡hola! ¿esta tu padre? el niño responde: no, el no esta. le piso un camion. el hombre expreso sus condolencias, y le pregunto si su madre se encontraba en casa. el niño responde:  no, ella no esta. un camion la piso. el hombre ya un poco desconcertado e impaciente le pregunta: pero, ¿no se encuentran por casualidad tus hermanos, tu abuela o tu abuelo? el niño responde: no, ellos tampoco estan. a todos les piso un camion.  el hombre se sorprendio muchisimo y le replico: pero, ¿donde te encontrabas tu, cuando a todos les pise el camion?  ¿yo? ¡yo estaba manejando el camion 
5286: niños | un dia al regresar de la oficina, mi hijo me aborda:papi, papi, esta tarde te vinieron a buscar como mil cobradores. ¡te he dicho mas de un millon quinientas setenta y nueve mil veces, que no seas, tan exagerado! dias despues me esperaba en la sala: papi, papi, ¿tu estas a favor del desarme? claro, mijo. ¡ah, es que, desarme el computador!    
7773: una_linea | ¿que es un punto azul en la pared.una mosca en jean 
5987: animales | un contador publico, cansado de la vida de la ciudad, se muda al campo y decide dedicarse a criar pollos. se dirige a la tienda del pueblo rural cerca de donde ahora vive. me da una orden de 100 pollitos, el dice al comerciante. este le despacha la orden. una semana despues, el contador regresa. me da otra orden de 200 pollitos. el comerciante le vuelve a despachar la orden, pero a la semana siguiente regresa. hoy quiero una orden de 500 pollitos.  ¡guau!, dice el dueño de la tienda, a usted le tiene que estar yendo muy bien.  no, suspira el contador, no se me dan, o los estoy sembrando muy profundo o muy separados.  
3344: adivinanzas | ¿por que los atlantes tienen el cerebro del tamaño de una nuez?pues porque lo tienen hinchado 
4240: mama_papa | mama, mama en el colegio me dicen nariz.¿y por que, hijo? nose 
1996: actos | primer acto: sale un cuate con una bolsa de hielo golpeando a su amigo.segundo acto: sale el mismo cuate pegandole a su mismo amigo con la misma bolsa de hielo. tercer acto: sale el mismo cuate con la misma bolsa de hielo pegandole al mismo amigo con la misma bolsa de hielo. ¿como se llama la obra? helada madrina 
475: chistes_cortos | ¿que le dijo una pompi a otra pompi?entre nosotras hay un soplon 
1296: comidas | si caminar fuese saludable, el cartero seria inmortal. la ballena nada el dia entero,  solo come pescado, bebe solamente agua y... ¡es gorda!  el conejo corre y salta. pero vive solo 5 años. la tortuga no corre, no nada, no salta, llega ultima, no se apura y... vive 450 años.      conclusion:  ¡no mas ejercicio ni dietas!    
2929: adivinanzas | ¿como se llama el hombre mas rico de china?yoshi giro chequesito 
6860: atlantes | ¿que hace un atlante golpeando un reloj?matando el tiempo.       
4010: machistas | ¿cual es la comida favorita de kung fu?los kunfites 
865: chistes_cortos | abre la ventana pa' que entre el fresco.y el fresco se llevo todas las joyas 
5158: niños | un niño le pregunta a otro:¿que es un agujero? un señor que vende agujas 
66: borrachos | iba un borracho caminando a su casa cuando ve un letrero que le llamo la atencion. el borracho comienza a llorar desconsoladamente cuando, por casualidad, pasa su vecino y al verlo llorar le pregunta:¿por que llora vecino? el borracho le contesta: a lo que hemos llegado en este mundo. mira en ese letrero dice que se vende madre sin sentimiento.   el vecino lee el letrero y le contesta: pero chico, tu no ves que ahi dice: se vende madera, zinc y cemento.     
3838: locos | esto que son dos locos en el manicomio y uno le dice al otro:yo soy rey porque me lo ha dicho dios. y el otro responde: yo no te he dicho eso 
5453: otros | una mujer de 27 años, estaba en una clinica, habia caido en coma y 15 dias despues murio. nadie en la clinica se habia dado cuenta ya que habia fallecido repentinamente. la mujer en el cielo hablo con dios, quien le dijo que se habia equivocado, que ella iba a vivir 40 años mas. la mujer se desperto aun en la clinica y decidio que si iba a vivir tanto tiempo, iba a estar bonita. en la misma clinica se puso mas pechos, se hizo una liposuccion; se acomodo la nariz etc.cuando estaba saliendo de la clinica, feliz y a gusto con su nueva figura, la atropello un auto. en el cielo hablo con dios al respecto: dijiste que iba a vivir 40 mas - le dijo ella.  yo nunca te dije eso. la mujer le explico al señor y lo unico que el que pudo decir en su defensa, fue: es que no te reconoci...  
3425: adivinanzas | ¿por que los sapos mueren con las patas hacia abajo y las de arriba aplastadas en la carretera?porque cuando viene un carro dicen: ¡para, para, para, para!  
7025: atlantes | un avion tiene problemas en pleno vuelo, entonces el capitan, le dice al ayudante que era un atlante, que avise a los pasajeros que se abrochen sus cinturones de seguridad. anuncia el atlante a los pasajeros:mi capitan dice que se ajusten los cinturones de seguridad para que no haya tantos cadaveres regados.  
5822: otros | ¿como se dice me robaron mi moto en árabe?ya-no-veo-mi-moto.  
6654: profesiones | un hombre se encuentra en la mas absoluta miseria. cuando en plena selva amazonica ve un cartel que dice: necesitamos empleado para la tala de arboles. si bien el tipo no tenia ni la mas remota idea de como hacer ese trabajo, pidio hablar con el jefe de personal. el jefe de personal le pregunto:  ¿tiene usted experiencia en este tipo de trabajo? por supuesto señor, toda mi vida he talado arboles.  bien, digame, ¿donde ha trabajado? pues, en el sahara. ¿en el sahara? ¡pero si eso es un desierto!  si, ahora si, ¡no sabe lo que nos costo talarlo 
7537: suegras | estaba un atlante haciendo su casa, pasa un amigo y le dice:¿por que construis tu casa en forma redonda? por si mi suegra me pide un rinconcito 
5594: otros | llega a la iglesia una señora y se encuentra con el papa, entonces el papa le pregunta:hija, ¿ya sabes como le vas a poner a tu hijo que acaba de nacer? si, le contesta la señora. ¿y como? pregunta el papa. zanahorio, responde la mujer. ¿por que zanahorio? pregunta extrañado el papa. ¿y como a usted le dicen papa 
7166: atlantes | ¿por que los atlantes no toman leche fria?porque no le entra la vaca en el refrigerador 
161: borrachos | estaban dos borrachos en un parque muy mareados, y uno de los borrachos dice:esa que esta alla arriba es la luna. y dice el otro borracho: no, ese es el sol. y siguen discutiendo hasta que pasa otro borracho y los dos borrachos le preguntan: ¿esa es la luna o el sol? y dice el borracho: ay, yo no se, yo no vivo por aqui 
451: chistes_cortos | ¿sabes que mi hermano anda en bicicleta desde los cuatro años?mmm, ya debe estar lejos.  
7432: restaurantes | estaba en un restaurante de comida mexicana este turista, y al momento de traer el plato principal el mozo pregunta:señor, ¿le traigo tabasco? a lo que el turista le contesta: ¡no gracias, yo no fusmo!  
3731: ladrones | dos ladrones atlantes entran a una iglesia y dicen a las personas:¡a la bared! y todas las personas: alabare, alabare.. 
6453: pepito | un dia pepito fue a la escuela y la maestra pidio a los alumnos que para el dia siguiente trajeran alguna cosa de la cruz roja, al otro dia la maestra le pregunta a pepito: ¿que has traido? pepito respondio: un tanque de oxigeno, y ella le pregunta: ¿quien te lo dio?, mi abuelito respondio el y ¿que te dijo? pepito: !!no te lo lleves, no te lo lleves!! </div><div class=opciones> <span class=chisteid>#278931</span> <input type=button class=enviarchiste onclick=window.open('/correo/sendjoke.asp?id_chiste=278931' ,'newwindow','scrollbars=yes,toolbar=no,location=no,directories=no,status=no,menubar=no,resizable=yes,scrollbars=yes,copyhistory=no,width=475,height=460,left=100,top=50') value=enviar chiste>  
841: chistes_cortos | se abre el telon y aparece un hombre muy flaco vestido de rojo.se cierra el telon. ¿como se llama la pelicula? la delgada linea roja 
225: borrachos | un borracho estaba molestando y escandalizando en una esquina y un policia, oyendo el escandalo, se le acerca y le dice:¡oiga amigo, tenga la bondad de acompañarme!, y el borracho le pregunta:  ¿acompañarlo? ¡hip! ¿pero a donde?, y el policia le contesta alarmado: ¡a la comisaria! y el borracho le concluye diciendo: ¡vaya, vaya, usted con ese tamañote! ¿y le da miedo irse solo 
6046: animales | tres personas van a un hotel. la primera entra a una habitacion invadida por arañas, la segunda persona entra a una habitacion invadida por mosquitos, y la tercera persona entra a una habitacion invadida por hormigas. al dia siguiente se reunen y la primera persona comenta que no pudo dormir porque las arañas lo molestaron toda la noche. la segunda persona dice que el tampoco pudo dormir por culpa de los mosquitos. entonces, preguntan al tercero si pudo dormir y este responde:yo dormi muy bien, mate una hormiga y todas fueron al velorio.  
6536: pepito | cual es la propina acostumbrada, le pregunta un tipo al repartidor de pizzas, pepito, estudiante universitario que hace este trabajo para ayudarse a pagar los estudios.pues, esta es mi primera entrega, pero el tipo que me dio el trabajo dice que si logro que usted suelte una moneda de 25 centavos, va a ser un milagro. ¿ah, si?, gruñe el cliente,  pues, en ese caso, ¡toma $5! ¡gracias, señor!, exclama pepito, pondre el dinero en el fondo para mis estudios. y, a proposito, ¿que carrera estas estudiando? sicologia aplicada, contesta el chico.    
1630: dentistas | paciente: debe ser duro pasar todo el dia con tus manos metidas en la boca de alguien mas.dentista: solo pienso que es como tener mis manos en su billetera.  
4419: amigos | luis estaba en el gimnasio, viene pedro y le dice:¿que haces aca luis? y hago pesas. ¿pesas? ¿desde cuando? desde que mi mujer me dijo que volviera cuando pueda mantener la casa 
22: borrachos | iba caminando por la calle un borrachito y se encuentra con su compadre, y este al ver que el borrachito tenia las orejas a carne viva le pregunta:pero, ¿que te ha pasado compadre?  es que a mi esposa se le ocurrio dejar la plancha prendida, y sono el telefono y agarre la plancha por equivocacion. pero, ¿y la otra? y el borrachito le contesta: el maldito imbecil volvio a llamar 
5075: niños | mama, en la escuela me dicen que soy un interesado.¿quien te lo dijo hijo? ¡si me das cinco pesos te lo digo 
6930: atlantes | ¿como se sabe si un atlante ha estado usando tu computadora?hay marcas de corrector en la pantalla.  
7386: religiosos | un domingo estaba el padre de la parroquia regañando a los feligreses ya que daban muy pocas ofrendas y les dice:hermanos, hoy vamos a recoger las ofrendas de una manera diferente, quiero que sin ver sus bolsillos metan la mano dentro y echen a la bandeja el billete que agarren, sin mirar que cantidad es. y para que vieran los fieles como era, metio la mano en su bolsillo y cuando la saco, era un billete de 100 dolares y exclama:  ¡te reprendo satanas 
